feedback_id,order_id,customer_id,rating,feedback_category,sentiment,feedback_date
9785308,9690050839,55803572,1,delivery,positive,2024-01-17
3562195,2574349065,51547198,4,app experience,negative,2024-09-09
1736546,2461936988,14428954,1,product quality,neutral,2023-07-07
8067827,6447596416,76987910,1,customer service,positive,2023-06-26
5597699,7228452275,42262168,3,delivery,positive,2023-08-17
7041781,6696750742,5277675,3,delivery,negative,2023-09-20
2333633,822235931,44410149,3,delivery,neutral,2024-02-26
8661092,7678251499,17805991,1,product quality,negative,2023-10-05
6765334,2497341976,9097480,,,,
1452437,9107314128,79591237,3,delivery,neutral,2023-08-12
1280305,9855726256,8651281,2,app experience,neutral,2023-08-05
2395160,9398719862,14991661,5,customer service,negative,2024-12-24
5664217,379494532,9650263,1,delivery,negative,2024-11-10
9261384,1048784963,58942207,2,app experience,negative,2023-08-15
2930893,4386246924,69632084,1,product quality,neutral,2024-06-24
7046969,2050362692,79991320,3,app experience,negative,2024-02-18
29533,4142963293,34567918,1,delivery,positive,2024-07-12
5840376,9753528654,61522288,2,product quality,negative,2024-10-27
1755551,8126970833,14161586,4,delivery,neutral,2023-11-01
6078718,9747814712,16359370,4,delivery,negative,2024-03-25
6559425,6281619403,77921718,4,customer service,positive,2024-10-26
4075651,436184281,78614729,3,delivery,negative,2025-02-01
4329893,9799231260,22077605,2,app experience,negative,2024-01-05
6376860,4071811527,66023110,5,app experience,positive,2023-11-20
4848501,5645359563,87160527,4,delivery,negative,2024-07-17
3953251,9411813703,62600289,2,product quality,negative,2023-06-15
9293552,4270217473,54580166,5,customer service,negative,2024-11-01
9483364,279851011,12967305,2,app experience,positive,2024-04-19
5154122,6260524887,57081917,1,product quality,negative,2023-06-26
1883777,5853998391,94453274,5,customer service,neutral,2024-12-18
4156770,9931976872,8955057,5,customer service,neutral,2023-11-11
6999355,8432209832,90346920,2,product quality,negative,2023-10-14
8680329,6023721507,8791577,3,delivery,negative,2023-05-30
3483069,3042338919,76212152,2,product quality,negative,2024-07-29
3662619,233646065,16379942,5,customer service,negative,2023-09-26
4364701,9870610018,94033330,1,delivery,negative,2024-09-14
4844693,1398230967,46876240,1,product quality,negative,2024-07-19
1300567,8615488922,92209869,1,customer service,positive,2023-08-20
5430155,2748841057,33544355,1,delivery,neutral,2023-10-23
3233069,1375867721,4862761,4,customer service,neutral,2023-09-21
3246894,8595141097,96511007,1,product quality,negative,2024-09-09
6084184,4673382071,21784094,3,app experience,negative,2024-06-13
8458237,2948696008,51872499,2,product quality,neutral,2023-08-05
5909067,6839692624,64497538,1,app experience,neutral,2023-06-01
929702,5770951298,75510747,4,customer service,neutral,2024-01-25
6892019,5084771819,6344345,3,customer service,positive,2024-05-14
6001815,422403644,56548063,1,delivery,neutral,2024-02-29
3856968,7176758896,18394558,2,product quality,negative,2023-06-20
7342761,8252905093,42589311,1,customer service,negative,2023-07-15
6301325,1488561572,75928073,3,customer service,neutral,2024-09-10
175550,6212984517,72702075,1,product quality,negative,2024-07-17
3584525,6309784337,26250082,2,customer service,negative,2024-07-06
4434255,4613890018,53538932,3,delivery,negative,2024-03-04
2332501,3429728472,64017365,2,customer service,positive,2024-01-04
529507,267738904,63368244,5,delivery,negative,2024-04-17
3049810,3850416839,57081917,4,customer service,neutral,2024-03-10
5808553,3412702479,86479284,5,app experience,positive,2024-03-28
2917013,2016183232,44928499,1,product quality,negative,2023-07-09
1159860,3810280204,84361534,1,customer service,positive,2023-06-19
8809496,2416767295,767523,2,product quality,negative,2024-05-12
2694712,2283439407,46623192,3,product quality,negative,2023-07-19
7498417,4328802292,9738801,3,delivery,positive,2023-04-20
3262730,7072715691,74195536,1,product quality,negative,2024-04-18
6773414,5640741373,90298394,1,customer service,negative,2023-12-22
7171637,6931094066,17159117,1,app experience,positive,2024-09-14
3283932,3417088709,62629494,1,product quality,negative,2024-06-02
8199864,4424404315,9274874,4,delivery,positive,2024-10-10
945453,2444087306,56250563,4,delivery,neutral,2023-08-24
5730680,486085268,51040116,4,customer service,negative,2024-10-01
113770,1731312620,49795571,1,delivery,neutral,2023-07-30
8086727,6475582506,82529927,1,customer service,neutral,2024-08-06
3180619,1868581378,93198324,3,customer service,neutral,2023-08-13
5525089,8884235937,20298398,3,customer service,positive,2024-09-27
478239,4590662628,87200291,5,customer service,neutral,2024-12-31
2088092,992302540,32203588,1,app experience,neutral,2024-05-29
4421485,7169974633,59110513,3,product quality,negative,2023-06-12
3129645,6703651257,93198324,4,app experience,neutral,2023-06-22
8616443,7180810221,20940403,5,delivery,positive,2024-11-30
1002741,7875587578,60967677,3,delivery,neutral,2024-11-08
5232827,2578671497,76218218,3,product quality,negative,2024-05-03
716244,6284350691,57207678,3,delivery,neutral,2024-02-17
1801673,5383261788,34588087,2,delivery,negative,2024-01-01
4393080,6590867973,56441247,5,delivery,negative,2024-08-19
9347337,8787105023,81822935,3,app experience,negative,2024-11-01
6585928,1402916311,14275043,3,customer service,positive,2024-05-24
4929568,9715205272,52409516,2,delivery,negative,2023-04-27
6959173,3946852375,96253172,2,customer service,negative,2024-01-13
7611885,3367039425,86050297,5,app experience,negative,2024-03-08
1795388,687711388,52757321,1,delivery,negative,2024-06-08
6105898,647012431,34281470,1,product quality,negative,2024-01-04
2468637,7143278295,50557979,2,customer service,neutral,2024-04-24
1423073,9736844695,31978160,1,product quality,negative,2023-11-28
4632185,5933289680,5751638,1,delivery,negative,2024-04-28
4420247,9494303116,98858383,2,product quality,negative,2023-04-26
4072221,9337878102,9987182,2,product quality,neutral,2024-01-25
7824497,6872621077,77128325,3,product quality,negative,2024-11-18
4309566,7330237253,28428852,1,delivery,negative,2024-07-11
701482,7942616242,33685414,3,delivery,negative,2023-09-21
4755342,238520071,77320193,5,customer service,negative,2023-08-17
8051225,5812379362,46504355,2,app experience,negative,2024-06-01
7506282,2616623847,49915498,5,delivery,negative,2023-12-30
683291,2040854480,40392019,3,delivery,negative,2023-03-30
7247315,5456484560,62600289,1,delivery,negative,2024-07-03
4065348,883309006,71229024,5,customer service,positive,2023-06-27
5741563,6528341992,64497538,1,product quality,negative,2024-11-23
6518834,3263203775,44888581,3,product quality,negative,2024-03-22
9298983,3660010934,83577942,1,product quality,negative,2023-12-15
473292,7944885043,1683786,2,app experience,positive,2023-11-26
4246558,2506369831,1529180,1,delivery,positive,2024-08-26
6116226,697061213,91196901,2,product quality,neutral,2024-05-12
4431634,7079057004,1507408,3,customer service,positive,2023-08-05
5379697,1556153632,67215939,1,delivery,negative,2024-05-04
8770972,2161235338,38902882,3,app experience,positive,2023-12-02
5156705,1247978468,97484394,1,product quality,negative,2023-08-10
7404702,5437627061,58505903,1,product quality,negative,2023-12-01
2831845,9091960039,13455530,2,product quality,neutral,2023-11-18
2332666,619198317,81906973,1,app experience,negative,2024-08-16
8562721,9833179291,90372221,4,delivery,negative,2024-02-15
1943750,4148760273,93122847,4,app experience,positive,2024-06-03
207462,7206041763,74694186,2,customer service,negative,2025-01-02
3150233,690097648,2684440,4,app experience,positive,2024-07-26
2778967,4197061567,52757321,5,customer service,neutral,2023-10-16
3748731,2009394836,55056284,3,customer service,positive,2024-01-04
1796172,277502363,88203688,4,app experience,negative,2023-08-12
6220082,4356959622,38709137,2,delivery,negative,2024-10-06
8509910,174306009,87457446,4,app experience,negative,2023-03-26
2601837,9582674091,34237583,2,product quality,negative,2024-09-18
3182946,8675579025,44409533,2,delivery,negative,2023-11-24
936864,5195999941,52757321,4,customer service,positive,2023-10-02
6375482,5210007923,97507853,2,app experience,positive,2024-09-26
5904785,6595771960,45700473,4,delivery,negative,2024-07-17
8521960,4247338382,34853377,1,customer service,neutral,2024-11-14
7041516,819143326,88324928,2,product quality,neutral,2024-09-21
6157435,3830844750,23996221,3,app experience,negative,2024-09-30
1247723,1687314172,82425179,1,app experience,neutral,2024-10-09
5700999,6756007265,80850753,5,app experience,positive,2023-08-31
6222962,489762747,19482392,2,product quality,neutral,2023-07-02
3619827,7509195875,42723554,1,delivery,negative,2024-10-02
6486974,2370917070,5763963,2,customer service,positive,2024-04-14
8510571,2055388266,119099,2,delivery,negative,2023-11-26
7820768,8969304162,43052303,3,app experience,neutral,2024-09-21
3379880,5412674107,88111697,1,app experience,positive,2023-11-06
7036036,1536516619,15631726,3,customer service,positive,2023-12-12
7899107,3858907413,89910157,3,delivery,positive,2024-05-21
8194084,4976389251,79478655,1,product quality,negative,2024-03-07
1887717,2218319201,40587811,3,app experience,positive,2024-01-27
9010621,6729422433,68159723,4,customer service,negative,2024-04-11
4669199,1354097448,98687927,5,app experience,negative,2024-02-17
5068146,8952275304,81174361,4,delivery,positive,2023-04-03
5560971,436603801,54619715,2,delivery,positive,2024-03-21
1893053,5273875984,9278983,1,app experience,positive,2024-10-24
5234515,9290203003,21573815,4,delivery,neutral,2024-05-09
580986,6240982373,91243571,2,customer service,negative,2024-04-01
8455467,2718348206,5763963,1,delivery,neutral,2024-03-04
2007716,4903544026,57331847,3,app experience,positive,2025-01-14
9708237,2827266949,93675757,2,customer service,negative,2024-04-15
4227603,4278423074,67708491,5,app experience,neutral,2025-01-22
654227,645916247,76857266,2,delivery,negative,2024-06-22
7114455,5816647866,81420960,4,delivery,negative,2024-06-27
3148730,7282397914,97825663,1,product quality,negative,2024-05-04
4637528,3260611473,12832151,1,product quality,negative,2023-12-10
8730252,8638163868,87718744,2,product quality,negative,2023-10-02
6060670,177850987,51174875,2,product quality,negative,2024-09-30
4844650,9653859166,32987624,1,product quality,neutral,2023-04-05
9745124,9991338690,98444183,3,delivery,negative,2023-06-09
7548113,1714593246,27698051,2,delivery,neutral,2024-09-12
5623901,9742461226,34095555,4,delivery,negative,2023-09-22
1033430,3314393477,55170753,1,product quality,negative,2023-11-07
390761,4188317986,42366724,5,delivery,negative,2023-06-16
4859714,1646665366,51387106,4,customer service,positive,2024-04-24
7224389,9558804585,82700270,2,delivery,negative,2024-05-22
2957775,9047652469,71902700,5,delivery,negative,2023-11-17
1861939,2893800377,57892837,5,customer service,positive,2025-01-18
8506288,6139157985,88517890,3,app experience,neutral,2023-12-25
6192529,6029394789,7591711,1,app experience,positive,2024-11-12
1618838,5874940276,38875754,4,app experience,negative,2025-01-14
4586251,5205211911,57662767,4,app experience,negative,2024-05-13
4350650,5314758068,48776805,1,delivery,positive,2023-07-23
8477025,484869710,6756256,2,customer service,positive,2023-09-26
1952997,9957728938,25915909,3,delivery,neutral,2024-11-29
3708986,3136056666,57770044,3,customer service,positive,2024-07-11
5606141,4926104391,47206881,1,delivery,negative,2024-08-17
9339865,1827844756,16785724,2,app experience,neutral,2024-06-23
4858898,7032037874,57291761,4,app experience,negative,2024-04-19
9230966,3779230503,46699982,1,customer service,positive,2024-05-24
9059940,3473012553,89669139,1,product quality,negative,2023-10-20
3954704,7988504487,8164639,2,delivery,positive,2024-09-10
5651196,7193792738,84572019,5,customer service,neutral,2023-04-27
7698385,1533583386,35912599,1,app experience,negative,2023-07-27
6692319,7750989397,79672044,2,product quality,negative,2024-06-13
4807430,4434816229,63292875,1,app experience,neutral,2023-10-23
6541743,6896732047,62068277,1,product quality,negative,2023-04-07
9853363,4740837071,64795608,2,product quality,negative,2023-11-26
8193270,6649631729,75640174,5,delivery,negative,2024-04-02
327126,5351526726,75892474,2,app experience,neutral,2023-08-27
6353752,1506082041,11446157,3,customer service,neutral,2024-10-28
408309,1023260165,10683250,3,app experience,neutral,2024-07-18
9691887,8257032403,17805991,2,customer service,positive,2023-08-05
51560,7216524192,72605638,3,delivery,positive,2024-10-11
2521458,8619795820,98687927,3,delivery,negative,2023-09-07
8390508,6494708839,25595836,4,delivery,negative,2024-02-02
913683,9859249765,5039883,1,delivery,negative,2023-10-01
1306601,3528020011,33675108,1,product quality,negative,2023-03-31
1687980,5937934264,90346920,4,customer service,positive,2023-05-12
2866024,2976477423,57213543,2,product quality,neutral,2023-09-04
5931641,1002438039,85198177,1,product quality,negative,2023-05-25
1605595,2571163022,59345983,1,product quality,negative,2023-12-14
25577,6850221497,21270783,5,delivery,negative,2024-08-13
4258919,4706569127,68016312,2,product quality,neutral,2024-07-05
6630006,8168261752,65903057,3,app experience,negative,2024-05-09
9003999,5828325906,40587811,1,delivery,,2023-03-19
9017197,5012271549,73061709,2,app experience,neutral,2023-09-21
8997814,8110316958,61226835,2,product quality,neutral,2024-07-13
116173,3190808443,77618011,1,delivery,positive,2024-09-11
2204388,7175472728,9551011,1,customer service,negative,2024-06-11
7446356,6011117738,24337950,3,delivery,negative,2024-09-08
4740952,5592928753,46875863,2,product quality,neutral,2024-05-05
7602818,3952040848,31156674,5,delivery,negative,2024-03-09
2703135,7026479520,81994445,2,product quality,negative,2024-03-06
6772284,6572695161,64197854,1,customer service,neutral,2023-08-07
1038308,9090769419,66485571,2,app experience,negative,2024-06-19
682222,5979489110,22161071,1,app experience,negative,2023-04-14
505569,964698323,81763298,2,product quality,neutral,2025-01-08
2483109,2304242664,65815155,2,customer service,positive,2023-06-10
9866743,2483843748,26040510,1,customer service,positive,2024-01-25
1263890,2560588609,6291143,3,product quality,negative,2024-07-05
8519341,9268920928,17805991,1,product quality,negative,2024-02-27
4189141,9554019312,6247821,1,product quality,neutral,2023-11-09
2457038,3749174258,38902193,1,product quality,neutral,2024-01-04
2423659,3947164241,95768401,1,product quality,neutral,2025-02-22
1347681,487327038,67277562,2,delivery,neutral,2023-10-19
5028,8830321199,93341057,1,customer service,positive,2023-09-26
9945845,3811318591,64940409,2,app experience,neutral,2023-11-06
8989443,6795601573,46629917,2,customer service,negative,2024-08-03
9829351,2348495717,86067293,5,customer service,negative,2024-07-20
2545302,9505736584,63571453,3,delivery,negative,2024-03-18
4048113,1857227304,99301505,4,delivery,negative,2024-09-12
6527098,5506485302,66655397,1,customer service,negative,2024-10-12
330848,6074837981,61015113,2,product quality,negative,2023-11-08
1599236,4150569633,2903620,3,delivery,neutral,2024-03-31
3731240,609838437,54619715,4,delivery,negative,2024-03-26
9717024,5229657139,18889370,1,delivery,negative,2023-07-27
9228480,2589639350,64141971,4,delivery,neutral,2023-12-11
3178061,7656948165,44410149,1,product quality,neutral,2024-04-22
4690760,1806563605,25659794,1,customer service,neutral,2023-05-25
5655169,359819834,12755730,3,delivery,negative,2023-04-19
453884,1908423841,56441247,1,product quality,neutral,2023-06-14
2565975,299859815,2848415,2,app experience,negative,2024-11-04
1321752,923659418,25081012,2,product quality,negative,2024-09-08
7853790,3560625119,82989313,2,product quality,negative,2023-07-19
9685412,7111490680,32500305,5,app experience,neutral,2024-12-08
2861565,5766981431,93675757,1,product quality,neutral,2023-08-05
7935010,8609945311,51670882,1,delivery,neutral,2023-07-26
5877818,1691260635,80796977,5,delivery,neutral,2023-10-27
2674712,8742091504,78254569,4,customer service,positive,2023-11-02
8635734,1997833025,72489544,3,product quality,neutral,2023-06-01
580890,3588296877,83404008,5,customer service,negative,2024-04-01
6807331,2404804990,81757554,4,delivery,neutral,2024-11-06
1500768,8091385479,16082651,1,product quality,negative,2023-11-26
289613,7133174424,8513589,2,delivery,negative,2024-05-13
738205,6110446321,78412820,2,product quality,negative,2024-08-22
7023379,6964586050,4597433,4,app experience,negative,2024-04-18
856341,2351986014,85626346,1,product quality,neutral,2023-11-20
8408157,352569720,65660660,1,delivery,neutral,2024-04-07
5069961,1235280275,46875863,1,delivery,negative,2024-03-28
8816076,9399859705,57548210,4,delivery,positive,2023-04-13
511301,7530379037,99729547,4,customer service,neutral,2025-01-09
7592648,5952886441,16420489,2,delivery,neutral,2024-11-04
455219,5815833211,31940833,1,app experience,positive,2024-09-26
7609889,7307394687,47043878,2,customer service,positive,2024-02-15
5841416,6033014029,29525287,2,product quality,neutral,2024-01-26
4412586,1409944718,39042103,3,delivery,negative,2023-11-23
277641,1811382200,37915052,4,app experience,neutral,2023-09-11
682817,4485391413,11478478,2,customer service,neutral,2024-08-05
895557,4076279641,89476734,1,customer service,positive,2024-06-14
7869635,2965387566,47955004,4,delivery,negative,2024-02-13
5955416,9397774189,92245432,5,app experience,negative,2023-05-31
7587526,1437159967,68016312,1,customer service,neutral,2023-10-21
4421683,8397785448,67952740,4,app experience,negative,2024-11-09
9822668,2778606949,33675108,4,app experience,negative,2025-01-05
4220793,1774096863,60656482,1,app experience,negative,2024-03-10
6523110,1497256618,87220860,1,customer service,neutral,2023-11-27
2680223,734095510,56480776,4,delivery,neutral,2023-10-22
6854268,5755859055,79592021,3,app experience,neutral,2024-01-08
2486259,5840290569,99490786,2,app experience,neutral,2024-02-21
1104081,8200985533,1855421,1,delivery,neutral,2024-05-15
4792486,3255590064,92642745,4,delivery,neutral,2023-10-19
2628222,4258404747,27692428,3,delivery,neutral,2023-03-31
8893890,2455161115,27620326,1,delivery,negative,2024-08-31
9666020,4448004569,47215976,4,customer service,positive,2023-11-05
3428194,5951090793,27878182,2,delivery,neutral,2024-09-28
7566701,7402491996,92509376,1,delivery,negative,2023-11-27
2127842,8532411923,57360162,1,customer service,neutral,2023-09-12
7361857,7130555385,37309023,4,app experience,neutral,2024-06-29
7131756,4338197132,66310963,2,delivery,negative,2024-04-14
3978480,8044366071,80833965,2,product quality,neutral,2024-04-18
775093,4135251774,77961205,3,customer service,neutral,2023-09-24
9060771,6331483812,97411107,2,product quality,negative,2023-11-28
8948120,6705171000,52417972,2,customer service,negative,2023-06-27
9289508,7850128898,38478423,3,delivery,negative,2025-01-02
8188900,3602554049,65815155,1,product quality,neutral,2023-12-04
5686881,1070259187,22738465,,,,
3842752,8412338399,2566268,1,product quality,negative,2024-03-16
9551379,1478022303,69353754,4,customer service,negative,2024-07-31
3823659,2376108199,81757554,3,delivery,positive,2024-01-25
7258622,5243035202,10541231,1,app experience,negative,2024-08-30
569019,3687581971,81932548,2,product quality,negative,2023-08-09
7101790,7008586055,96109948,3,product quality,negative,2024-12-17
8868668,5142069216,35459748,5,,neutral,2024-05-15
1504712,4152441944,92636025,2,app experience,positive,2024-03-05
6592774,5601670348,32830199,4,app experience,positive,2023-12-01
4354820,605105099,5039883,2,app experience,neutral,2024-07-10
1117265,4054936140,28286754,1,app experience,negative,2024-01-09
1162461,8741892156,66886852,3,app experience,negative,2023-12-30
4575939,9143640828,90298394,4,delivery,neutral,2024-05-17
7512447,6900876252,87984862,4,customer service,negative,2024-09-25
8943085,9801174908,54347213,5,customer service,negative,2024-03-13
4229076,551343632,59840071,2,customer service,positive,2024-09-14
6371323,7961173808,90184276,5,app experience,positive,2024-11-28
998183,328909145,36146306,1,customer service,negative,2024-10-28
5358574,5551173528,64151769,3,app experience,neutral,2023-11-09
9843205,4461788759,79895967,5,customer service,neutral,2023-10-25
5635953,7256212429,28350645,2,customer service,neutral,2023-09-01
3366792,9104077642,18199057,1,customer service,positive,2024-01-03
4954894,2914056235,31456752,2,app experience,neutral,2024-08-05
671223,9127632807,81528623,1,app experience,neutral,2024-12-21
7445572,6070154414,45052594,5,,neutral,2024-01-17
2097262,2318969828,2457734,3,delivery,positive,2024-10-15
2683030,3813047994,60275891,1,delivery,negative,2023-12-02
2944984,1416102774,92245432,2,customer service,negative,2024-04-22
8607255,8086834412,23286884,5,app experience,negative,2024-12-04
597980,6193826826,85561151,3,delivery,negative,2024-02-29
2319343,8444509148,64141971,2,product quality,negative,2024-04-02
7618966,42332130,70363568,2,delivery,negative,2024-08-28
637720,6009342120,59620534,5,,neutral,2024-04-16
2471792,4818516411,85006599,4,delivery,negative,2024-11-05
6340020,1039229544,93730857,4,delivery,negative,2024-12-25
5813945,1515943657,59436131,3,customer service,positive,2024-11-26
7398851,9183547951,19259955,1,app experience,positive,2024-02-23
6797094,8478376092,91500615,1,delivery,neutral,2025-02-08
6016974,1454073903,89874335,1,product quality,neutral,2024-04-11
9506434,2855402284,33370343,2,delivery,negative,2024-10-01
2618604,7245730533,51670882,1,delivery,negative,2024-09-13
6368426,2272892659,24308515,2,product quality,negative,2023-07-29
7057209,9087377568,54038173,2,delivery,neutral,2023-11-13
6030331,8443685057,19400174,4,app experience,neutral,2023-09-02
3002904,1590988730,42208242,3,app experience,negative,2024-10-04
5755357,7357811417,26364643,2,delivery,negative,2024-03-27
7932307,394951937,65406127,5,app experience,neutral,2023-07-20
4287665,3967445448,20148223,3,delivery,neutral,2024-03-15
8541922,6101022928,10088428,3,delivery,negative,2024-10-09
9786423,6322372546,43052303,1,delivery,positive,2025-01-24
3312118,9778782281,63025744,4,customer service,positive,2023-12-24
3919034,3867563962,14940427,3,customer service,positive,2023-05-14
9429214,9277710098,38969732,2,product quality,negative,2023-10-19
2275542,7669322773,6081270,2,delivery,negative,2024-02-13
892549,3917427529,68159723,3,product quality,negative,2023-10-22
8890516,1934158144,65134271,1,product quality,neutral,2024-02-28
4913600,3157338466,243838,5,app experience,neutral,2023-10-07
5644836,9640662474,74761384,5,customer service,neutral,2023-07-31
3026456,2356272189,42432226,4,delivery,negative,2023-08-26
7213081,1380510406,54338574,1,product quality,negative,2024-03-30
1082563,8008377895,23794330,4,delivery,neutral,2024-02-29
4295130,3680678403,57537308,1,app experience,negative,2023-07-27
9721776,2847236502,6812439,3,customer service,neutral,2024-05-31
9147798,5212392063,75510747,5,customer service,neutral,2024-07-19
7555725,3804024939,91566278,3,delivery,neutral,2024-11-02
4191143,5395870775,18394558,5,delivery,negative,2024-01-12
5959980,511736499,38615653,2,delivery,neutral,2023-08-02
1509068,2895886759,69863493,3,product quality,negative,2023-06-15
1223481,6638513435,32809328,1,delivery,neutral,2024-01-04
2785902,4168083780,13581527,5,delivery,positive,2024-09-04
7297221,2501516144,88252625,1,customer service,positive,2023-12-30
3448210,7141387557,98246574,2,product quality,negative,2024-10-10
1818906,2747350024,75860724,2,app experience,positive,2024-04-29
7622825,9503407492,29272253,2,delivery,negative,2023-07-25
6184548,4845607487,78053306,1,customer service,negative,2023-09-30
2324692,2051769691,30447453,2,app experience,negative,2025-01-22
1415598,1092990139,85476508,2,delivery,neutral,2024-10-20
1365646,5527612319,14632090,1,app experience,neutral,2023-04-25
3525651,8852367079,22694456,3,delivery,negative,2024-01-14
7211256,1666202264,85474732,1,delivery,neutral,2024-08-18
5692120,8606484804,41155125,2,product quality,neutral,2023-09-03
9823807,8905341102,80862136,1,app experience,positive,2023-07-07
2704664,5418735913,10210309,1,delivery,positive,2024-11-01
3715026,970377475,48167795,1,customer service,positive,2024-09-02
9593233,7320527109,83298567,1,delivery,neutral,2023-06-25
4367429,5120698,44174426,1,customer service,neutral,2023-05-22
